id,name,host_id,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,reviews_per_month,availability_365,occupancy_rate,estimated_monthly_revenue
6422,Nashville Charm,12172,District 6,36.17143,-86.7357,Private room,43.0,30,669,3.4,230,0.11333333333333333,93.40555555555557
39870,Close to Vanderbilt 2,171184,District 25,36.12466,-86.81269,Private room,70.0,1,564,5.29,230,0.17633333333333334,236.58055555555558
59576,Large Main Suite near Lake *ladies only NS plz,812128,District 12,36.1894,-86.59162,Private room,,30,3,0.08,86,0.0026666666666666666,
72906,Vandy/Belmont/10 mins to Broadway - Sunny 800 sqft,176117,District 18,36.13122,-86.80066,Entire home/apt,85.0,2,765,4.48,215,0.14933333333333335,227.42222222222225
258817,"ButterflyRoom-queen room, private bath",22296,District 12,36.16076,-86.59151,Private room,34.0,30,97,0.59,365,0.019666666666666666,20.33861111111111
289242,"MorningstarHouse, monthly room-",22296,District 12,36.16296,-86.59113,Private room,33.0,30,76,0.46,365,0.015333333333333334,15.390833333333335
304904,bedroom with your own bath,870376,District 21,36.1448895,-86.8153263,Private room,47.0,25,301,1.86,97,0.062000000000000006,23.554833333333338
304916,Ferienwohnung Schwarzer - EG,1569101,District 21,36.1448895,-86.8153263,Entire home/apt,185.0,2,45,0.34,105,0.011333333333333334,18.345833333333335
319705,"SuperSweetSTUDIO, jacuzzi, private entrance",22296,District 12,36.16236,-86.59005,Private room,45.0,30,49,0.3,365,0.01,13.6875
329997,A+ Carriage House & Courtyard! 5 mins to Downtown,1684051,District 19,36.1758,-86.7995,Entire home/apt,98.0,2,1497,9.22,115,0.30733333333333335,288.63722222222225
340081,Affordable room in 4 bedroom house.,22296,District 12,36.16122,-86.59007,Private room,33.0,30,82,0.51,365,0.017,17.063750000000002
395889,Contemporary-Mod Paradise w/ Private Bathroom,1547584,District 6,36.16499,-86.75054,Private room,84.0,1,368,2.32,330,0.07733333333333332,178.64
430052,"Private Vaulted Studio! King,WetBar,Bath/5 min DT!",1684051,District 19,36.1723,-86.7925,Entire home/apt,92.0,2,1120,7.07,42,0.23566666666666666,75.88466666666666
431258,"5 MIN TO DT! 2 Bdrm, 2.5 Baths, Hot tub courtyard!",1684051,District 19,36.1758,-86.7995,Entire home/apt,203.0,2,545,3.43,312,0.11433333333333334,603.4513333333334
501570,French Flair :The Loire room,2427763,District 6,36.18982,-86.74399,Private room,116.0,1,276,1.74,165,0.058,92.51
513664,Cozy and Convenient in Donelson!,2530554,District 14,36.15606,-86.64991,Private room,,2,27,0.18,0,0.006,
632636,Admire Skyline from the Rooftop Terrace Chic Suite,1684051,District 19,36.1723,-86.7925,Entire home/apt,194.0,2,456,2.91,51,0.097,79.9765
645985,Serenity Haven,1515903,District 6,36.18523,-86.71385,Private room,32.0,30,60,0.39,136,0.013000000000000001,4.714666666666667
648088,Heart of Music Row Studio Apt. Midtown Nashville,3250769,District 19,36.1447,-86.79014,Private room,114.0,30,444,2.86,88,0.09533333333333333,79.69866666666665
674159,"A Clean, Quiet Suite in a Great Neighborhood",3422455,District 6,36.17393,-86.73894,Entire home/apt,128.0,3,346,2.28,248,0.076,201.04533333333333
681880,Luxurious Cozy Guesthouse,3471162,District 7,36.21536,-86.71024,Entire home/apt,103.0,1,843,5.45,133,0.18166666666666667,207.38763888888892
775235,Nashville Urban Farm Bellevue,3020125,District 35,36.05091,-86.93886,Entire home/apt,62.0,30,63,0.41,354,0.013666666666666666,24.996333333333332
859206,Private Entrance Suite Vandy/Belmnt,1924504,District 18,36.12999,-86.79959,Private room,,2,132,0.88,0,0.029333333333333333,
914787,"Walk to Downtown Broadway Pool, Free Parking, Gym",4910520,District 19,36.17539978,-86.7818985,Entire home/apt,216.0,1,460,3.08,337,0.10266666666666667,622.7760000000001
1006989,Private Carriage House,1896384,District 6,36.17502,-86.73475,Entire home/apt,88.0,2,650,4.37,51,0.14566666666666667,54.47933333333334
1009550,The Fab GuesT QuarTers Suite,5554006,District 7,36.21239,-86.70439,Entire home/apt,105.0,3,291,1.96,68,0.06533333333333333,38.87333333333333
1039298,Hotel-quality Two-bedroom Suite,5721539,District 7,36.22625,-86.72121,Entire home/apt,132.0,2,85,0.85,37,0.028333333333333332,11.531666666666666
1300670,Valentino's Retreat,119023,District 10,36.32249,-86.72652,Entire home/apt,127.0,2,162,1.11,303,0.037000000000000005,118.64975000000001
1537921,"Private Cottage
Nature Trails & Close to Downtown",113637,District 6,36.16761779785156,-86.73709869384766,Entire home/apt,103.0,1,340,2.37,252,0.079,170.877
1546787,Cozy Guest House in Vibrant 12 South,6855810,District 18,36.12991714477539,-86.79246520996094,Entire home/apt,90.0,2,555,4.02,157,0.13399999999999998,157.78499999999997
1557535,ULITIMATE GIRLS WEEKEND!!! 10 MIN. TO DOWNTOWN!!!!,8291189,District 7,36.22621,-86.7103,Entire home/apt,479.0,3,106,0.75,314,0.025,313.34583333333336
1583339,"Heart of Historic East Nashville, Walk Everywhere!",1567001,District 6,36.17833,-86.74426,Entire home/apt,,2,80,0.56,358,0.018666666666666668,
1583557,Entire Upstairs-2 Bedroom Private/Owner downstairs,1567001,District 6,36.17833,-86.74426,Private room,119.0,30,128,0.9,261,0.030000000000000002,77.64750000000001
1587240,Charismatic room in East Nashville,1567001,District 6,36.17868,-86.74394,Private room,,30,133,0.93,0,0.031000000000000003,
1640655,Southern Hospitality - With 2 Rooms! Private Bath!,6154341,District 17,36.12397,-86.78047,Private room,78.0,4,149,1.04,364,0.034666666666666665,82.02133333333333
1661560,"Unique East! tucked away, retro, porch w/ view!",8804227,District 6,36.17622,-86.73512,Entire home/apt,170.0,1,133,0.94,227,0.03133333333333333,100.76277777777777
1840652,A Downtown Great GetAway!,2066370,District 21,36.17663192749024,-86.80799102783203,Entire home/apt,330.0,1,200,1.42,253,0.04733333333333333,329.32166666666666
1951714,Cheap Vandy / Downtown Nashville CrashPad,7720839,District 17,36.14549,-86.78686,Shared room,500.0,1,6,0.04,90,0.0013333333333333333,5.0
1954040,Vintage style Eastside bungalow,8196681,District 7,36.20338,-86.7296,Private room,60.0,1,518,3.71,319,0.12366666666666666,197.24833333333333
2083878,"3min to DWTN!/2 bds, 1.5bths/Private Suite",10643952,District 19,36.17069,-86.79121,Entire home/apt,105.0,1,721,5.16,243,0.17200000000000001,365.71500000000003
2138177,Rustic Designer Suite near City Center,6521193,District 6,36.16107,-86.75256,Entire home/apt,157.0,2,500,3.62,102,0.12066666666666667,161.02966666666669
2181743,Take It Easy at an Urban Cottage in East Nashville/near Dt,7073590,District 6,36.17035,-86.74017,Entire home/apt,270.0,1,702,5.21,339,0.17366666666666666,1324.6425
2261942,Charming Room in Hip East Nashville,11550460,District 5,36.18269,-86.75301,Private room,93.0,2,812,5.97,288,0.19899999999999998,444.16799999999995
2316288,"2.5 Miles From DT, 2 Spaces",7428690,District 6,36.185993,-86.741821,Entire home/apt,139.0,2,359,2.97,308,0.099,353.19900000000007
2372334,Charismatic room in East Nashville,1567001,District 6,36.17833,-86.74426,Private room,,30,49,0.36,0,0.012,
2396505,Luxe Comfort in an Artistic & Historic Home,12098481,District 18,36.13541,-86.812656,Entire home/apt,,3,93,0.68,270,0.02266666666666667,
2473234,Room At Eastland - Your totally private space!,12649085,District 6,36.18034,-86.72588,Entire home/apt,88.0,4,190,1.39,297,0.04633333333333333,100.91399999999999
